sequence,decision,ct_entry,completed_slot,completed_id,replacement_id,ndtr_guard,free_depth_after_take,ready_depth_after_publish,nominal_to_decision_cycles,nominal_to_irq_exit_cycles,final_window_cycles,mapping_epoch_after,m0_before,m1_before,m0_after,m1_after,processing_begin_offset_cycles,processing_end_offset_cycles,release_commit_offset_cycles,raw_min,raw_max,processed_ok
71,1,1,0,4,0,251,3,1,6528,11609,1074,72,536876648,536877168,536874568,536877168,16372578,16387024,16388665,0,9,1
72,1,0,1,5,1,251,3,1,6510,11596,1073,73,536874568,536877168,536874568,536875088,16602967,16617406,16619046,0,10,1
73,1,1,0,0,2,251,3,1,6528,11611,1073,74,536874568,536875088,536875608,536875088,16833388,16847832,16849471,0,9,1
74,1,0,1,1,3,251,3,1,6518,11601,1073,75,536875608,536875088,536875608,536876128,17064285,17079046,17080721,0,8,1
75,1,1,0,2,4,251,3,1,6528,11611,1074,76,536875608,536876128,536876648,536876128,17294184,17308632,17310275,0,8,1
76,1,0,1,3,5,251,3,1,6518,11609,1073,77,536876648,536876128,536876648,536877168,17524582,17539024,17540668,0,10,1
77,1,1,0,4,0,251,3,1,6536,11617,1073,78,536876648,536877168,536874568,536877168,17754994,17769439,17771080,0,9,1
78,1,0,1,5,1,251,3,1,6830,11905,1073,79,536874568,536877168,536874568,536875088,17985676,18000119,18001758,0,9,1
79,1,1,0,0,2,251,3,1,6516,11599,1072,80,536874568,536875088,536875608,536875088,18215771,18230212,18231852,0,8,1
80,1,0,1,1,3,251,3,1,6518,11609,1073,81,536875608,536875088,536875608,536876128,18446182,18460625,18462269,0,9,1
81,1,1,0,2,4,251,3,1,6536,11619,1075,82,536875608,536876128,536876648,536876128,18677341,18691785,18693762,0,8,1
82,1,0,1,3,5,251,3,1,6518,11601,1073,83,536876648,536876128,536876648,536877168,18906977,18921425,18923069,0,8,1
83,1,1,0,4,0,251,3,1,6528,11609,1074,84,536876648,536877168,536874568,536877168,19137378,19151824,19153465,0,9,1
84,1,0,1,5,1,251,3,1,6510,11596,1073,85,536874568,536877168,536874568,536875088,19367767,19382212,19383852,0,7,1
85,1,1,0,0,2,251,3,1,6532,11947,1073,86,536874568,536875088,536875608,536875088,19598535,19612978,19614616,0,10,1
86,1,0,1,1,3,251,3,1,6518,11601,1073,87,536875608,536875088,536875608,536876128,19828577,19843028,19844671,0,10,1
87,1,1,0,2,4,251,3,1,6528,11611,1074,88,536875608,536876128,536876648,536876128,20058984,20073430,20075073,0,8,1
88,1,0,1,3,5,251,3,1,6518,11609,1073,89,536876648,536876128,536876648,536877168,20289382,20304348,20306022,0,10,1
89,1,1,0,4,0,251,3,1,6536,11617,1073,90,536876648,536877168,536874568,536877168,20519794,20534244,20535883,0,10,1
90,1,0,1,5,1,251,3,1,6510,11586,1073,91,536874568,536877168,536874568,536875088,20750159,20764602,20766241,0,9,1
91,1,1,0,0,2,251,3,1,6520,11603,1074,92,536874568,536875088,536875608,536875088,20980575,20995018,20996658,0,8,1
92,1,0,1,1,3,251,3,1,6522,11613,1071,93,536875608,536875088,536875608,536876128,21210990,21225752,21227427,0,9,1
93,1,1,0,2,4,251,3,1,6536,11619,1075,94,536875608,536876128,536876648,536876128,21441399,21455842,21457485,0,7,1
94,1,0,1,3,5,251,3,1,6518,11601,1073,95,536876648,536876128,536876648,536877168,21671777,21686224,21687868,0,8,1
95,1,1,0,4,0,251,3,1,6528,11609,1074,96,536876648,536877168,536874568,536877168,21902178,21917036,21918705,0,8,1
96,1,0,1,5,1,251,3,1,6510,11615,1073,97,536874568,536877168,536874568,536875088,22132584,22147011,22148649,0,7,1
